departamento,distrito,establecimientos,tipousf,poblacion,familias,viviendas,indigenas,rural,ninguno,eduinicial,edusecundaria,eduterciaria,edunoaplica,ladrillo,madera,estaqueo,adobe,bloquedecemento,teja,paja,fibrocementooeternit,chapasdezinc,tierra,ladrillo2,baldosa,cemento,mosaico,electricidad,celular,heladera,tv,sedentarismo,obesidad,tabaquismo,alcoholismo,drogas,hipertension,diabetes,discapacidad,dis_mental,total_consultas,tesaireka,consejo_salud,sub_consejo_salud,devf1,devf2,devf3,devf4,assef1,healthf1,healthf2,consultas_capita,not_same_block
canindeyu,VILLA YGATIMI,USF- ARROYO GUAZU,USF,1543,400,371,0,1,0.097999997,0.79000002,0.075000003,0.037,0.001,0.067000002,0.93000001,0,0,0,0.07,0.185,0.32800001,0.41499999,0.38999999,0.094999999,0.086000003,0.38800001,0.037,1,0.87,0.77600002,0.72000003,0.023,0.12,0.026000001,0.008,0,0.081,0.024,0.001482213,0.002,2699,0,0,1,-1.5392042,0.18267262,1.3750157,-0.51698935,-0.38782865,-0.13832358,-0.23463483,1.7491899,0
canindeyu,YASY CANY,USF- ACEPAR 1RA LINEA,USF,3045,697,697,249,0.77999997,0.013,0.764,0.131,0.017000001,0.075000003,0.47632712,0.50645626,0.014,0,0.003,0.317,0.057,0.33899999,0.287,0.204,0.32499999,0.061000001,0.40000001,0.01,1,0.85500002,0.91299999,0.96399999,0.28999999,0.23999999,0.033,0.033,0,0.089000002,0.022,0.001970443,0.004597701,3518,0,0,0,0.64663213,-0.40482759,0.53298229,0.92591202,0.70165688,-0.03433691,-0.10395336,1.1553366,0
canindeyu,YASY CANY,USF- ACEPAR 3RA LINEA,USF,2769,649,649,0,1,0.015890213,0.70855904,0.11087035,0.027000001,0.14300001,0.20999999,0.61000001,0,0,0.14,0.18000001,0.15000001,0.16,0.47999999,0.33000001,0.059999999,0.059999999,0.47999999,0.07,0.85000002,0.30000001,0.38,0.23999999,0.41999999,0.50999999,0.02,0.005,0.004,0.079999998,0.02,0.001320132,0.002,2971,0,0,0,-0.86032659,0.29704505,-1.159184,0.082030647,-3.4202979,0.15944023,-0.2117645,1.0729505,0
canindeyu,YASY CANY,USF- ACEPAR 7MA LINEA,USF,1624,374,374,0,1,0.109,0.45699999,0.133,0.048,0,0.30000001,0.69999999,0,0,0,0.090000004,0.024,0.01,0.87400001,0.229,0.01,0.28600001,0.47,0.002,1,0.95721924,0.87433153,0.79144382,0.035999998,0.028000001,0.001,0.009,0,0.12,0.021,0.0104,0.0067,2391,0,0,0,-0.307163,-0.1651461,-0.17102158,-1.8189822,0.17968599,-0.23275071,0.46936655,1.4722906,0
canindeyu,YASY CANY,USF- SAN BARTOLOME 3RA. LINEA,USF,2393,550,550,338,1,0.002925199,0.66903466,0.20058504,0.01671542,0.000835771,0.19599999,0.80000001,0.004,0,0,0.23,0.15000001,0.43000001,0.18000001,0.44,0.15000001,0.12,0.28,0.02,1,0.88999999,0.66000003,0.68000001,0.13,0.28999999,0.079999998,0.015,0.001,0.07,0.02,0.003,0.002,4602,0,0,1,-0.84265351,-0.12291406,1.5554849,0.82140207,-0.82204819,0.067821376,-0.45996192,1.9231091,0
canindeyu,YASY CANY,USF- TAPIA 2DA. LINEA,USF,1186,300,300,0,1,0.025,0.6897133,0.12141652,0.048060708,0.11551433,0.2,0.80000001,0,0,0,0.18000001,0,0.28,0.54000002,0.19,0.14,0.07,0.52999997,0.07,1,0.89999998,0.82999998,0.83999997,0.18099999,0.171,0.067000002,0.006,0,0.063000001,0.013,0.004,0.001,2406,0,0,1,-0.57571125,-0.46542889,0.82955015,-0.33646166,0.14184012,-0.29944292,-0.69054204,2.0286677,0
concepcion,ARROYITO,USF- PASO MBUTU,USF,1178,179,179,10,1,0.039999999,0.55000001,0.23999999,0.079999998,0.090000004,0.38999999,0.57999998,0,0,0.029999999,0.079999998,0.029999999,0.25,0.63999999,0.31999999,0.11,0.11,0.30000001,0.16,0.94999999,0.94,0.94999999,0.87,0.039999999,0.02,0.01,0.01,0,0.094999999,0.030999999,0.001,0.005,2594,0,0,1,-0.11883432,-0.28426078,0.12055398,-0.87392664,0.61104888,-0.026654491,0.2104236,2.2020373,0
concepcion,HORQUETA,USF- YBYRATY (BRASIL CUE) - ESTANDAR,USF,2139,509,506,0,1,0.088,0.66993922,0.20149602,0.037868164,0.002337541,0.88099998,0.088,0.009,0.003,0.013,0.072999999,0.028999999,0.21699999,0.67900002,0.154,0.537,0.28799999,0,0,0.98799998,0.89899999,0.79000002,0.82999998,0.068000004,0.089000002,0.082000002,0.082000002,0.005,0.113,0.032000002,0.004617414,0.0098,3852,0,0,1,2.2670429,-0.17629264,-0.54376495,-1.009624,-0.003805884,1.5803577,0.53218442,1.8008416,0
concepcion,HORQUETA,USF. ALEMAN CUE - ESTANDAR,USF,2405,525,525,0,1,0.015,0.63999999,0.18000001,0.034000002,0.131,0.57999998,0.41999999,0,0,0,0.25999999,0.02,0.28,0.44,0.28,0,0.34,0.38,0,1,0.94999999,0.60000002,0.89999998,0.167,0.114,0.075999998,0.018999999,0,0.071000002,0.01,0.005,0.004,3282,0,0,1,0.93845117,-0.93651456,-0.058860298,0.41721192,-0.30712423,-0.11910185,-0.6463263,1.3646569,0
concepcion,HORQUETA,USF. CAPITAN GIMENEZ - ESTANDAR,USF,3069,733,733,0,1,0.12805474,0.7337895,0.071358748,0.0342131,0.033,0.72851294,0.27148703,0,0,0,0.13642564,0.07230559,0.21418826,0.27285129,0.18826739,0.13642564,0.20463847,0.33424285,0,1,0.89660263,0.78130084,0.81023103,0.1,0.035300002,0.018898664,0.007820137,0,0.14011079,0.025089607,0.007820137,0.005865103,5773,0,0,1,2.0699625,-0.33920449,0.92765367,0.56968993,-0.088274553,-0.21249303,0.79896516,1.8810687,0
